director_name,平均评分,电影数量,最高评分,最低评分
Marielle Heller,6.9,1,6.9,6.9
Mariette Monpierre,6.7,1,6.7,6.7
Marilyn Agrelo,7.5,1,7.5,7.5
Mario Van Peebles,5.0,2,5.9,4.1
Marius A. Markevicius,8.4,1,8.4,8.4
Mark A.Z. Dippé,5.2,1,5.2,5.2
Mark Andrews,7.2,1,7.2,7.2
Mark Brown,5.2,2,6.1,4.3
Mark Christopher,5.8,1,5.8,5.8
Mark Dindal,6.67,3,7.3,5.8
Mark Griffiths,6.3,1,6.3,6.3
Mark Helfrich,5.6,1,5.6,5.6
Mark Herman,7.4,2,7.8,7.0
Mark Illsley,6.3,1,6.3,6.3
Mark L. Lester,6.32,4,6.7,6.0
Mark Mylod,6.0,1,6.0,6.0
Mark Neveldine,5.56,5,7.0,4.3
Mark Osborne,7.7,2,7.8,7.6
Mark Pellington,6.85,2,7.2,6.5
Mark Piznarski,5.1,1,5.1,5.1
Mark Romanek,7.0,2,7.2,6.8
Mark Rosman,5.7,2,5.9,5.5
Mark Rydell,6.9,1,6.9,6.9
Mark Sandrich,7.8,1,7.8,7.8
Mark Steven Johnson,6.05,2,6.9,5.2
Mark Tarlov,5.3,1,5.3,5.3
Mark Tonderai,5.6,1,5.6,5.6
Mark Waters,6.3,6,7.0,5.4
Mark Young,5.4,1,5.4,5.4
Mars Callahan,7.0,1,7.0,7.0
Martha Coolidge,5.9,1,5.9,5.9
Martin Brest,6.1,4,7.6,2.4
Martin Campbell,6.71,9,8.0,5.6
Martin Koolhoven,7.1,1,7.1,7.1
Martin Lawrence,5.6,1,5.6,5.6
Martin McDonagh,7.6,2,8.0,7.2
Martin Ritt,7.4,2,7.9,6.9
Martin Scorsese,7.66,20,8.7,6.7
Martin Weisz,5.1,1,5.1,5.1
Martyn Pick,5.7,1,5.7,5.7
Mary Harron,7.6,1,7.6,7.6
Mary Lambert,5.6,2,6.6,4.6
Mary McGuckian,5.1,1,5.1,5.1
Mary Pat Kelly,5.8,1,5.8,5.8
Maryam Keshavarz,5.9,1,5.9,5.9
Masayuki Ochiai,5.2,1,5.2,5.2
Mateo Gil,6.6,1,6.6,6.6
Mathieu Amalric,6.3,1,6.3,6.3
Mathieu Kassovitz,5.7,2,5.8,5.6
Matt Bettinelli-Olpin,4.0,1,4.0,4.0
Matt Birch,6.95,2,7.5,6.4
Matt Cimber,4.5,1,4.5,4.5
Matt Dillon,6.0,1,6.0,6.0
Matt Jackson,5.4,1,5.4,5.4
Matt Johnson,6.7,1,6.7,6.7
Matt Maiellaro,6.9,1,6.9,6.9
Matt Piedmont,5.5,1,5.5,5.5
Matt Reeves,6.68,4,7.6,4.9
Matt Walsh,5.4,1,5.4,5.4
Matt Williams,6.8,1,6.8,6.8
Matthew Bright,6.9,1,6.9,6.9
Matthew Diamond,6.7,1,6.7,6.7
Matthew Hastings,4.6,1,4.6,4.6
Matthew O'Callaghan,6.6,1,6.6,6.6
Matthew R. Anderson,3.0,1,3.0,3.0
Matthew Robbins,6.7,1,6.7,6.7
Matthew Vaughn,7.65,4,7.8,7.4
Matthew Watts,6.8,1,6.8,6.8
Matty Rich,6.2,2,6.5,5.9
Maurice Joyce,5.0,1,5.0,5.0
Maurizio Benazzo,7.2,1,7.2,7.2
Max Färberböck,7.3,1,7.3,7.3
Max Joseph,6.1,1,6.1,6.1
Max Mayer,7.2,1,7.2,7.2
Maïwenn,7.3,1,7.3,7.3
McG,6.08,6,7.1,4.8
Meiert Avis,4.2,1,4.2,4.2
Mel Brooks,7.2,6,8.0,6.7
Mel Gibson,7.77,3,8.4,7.1
Mel Smith,6.2,1,6.2,6.2
Mel Stuart,7.8,1,7.8,7.8
Melville Shavelson,7.2,1,7.2,7.2
Melvin Van Peebles,5.5,1,5.5,5.5
Mennan Yapo,5.9,1,5.9,5.9
Menno Meyjes,6.8,1,6.8,6.8
Mervyn LeRoy,7.2,1,7.2,7.2
Mic Rodgers,4.1,1,4.1,4.1
Michael Anderson,6.8,1,6.8,6.8
Michael Apted,6.52,6,7.5,5.6
Michael Bay,6.64,13,7.4,5.7
Michael Burke,7.2,1,7.2,7.2
Michael Caton-Jones,5.9,4,6.9,4.2
Michael Chapman,5.3,1,5.3,5.3
Michael Cimino,8.2,1,8.2,8.2
Michael Clancy,6.7,1,6.7,6.7
Michael Cohn,6.3,1,6.3,6.3
Michael Corrente,6.4,2,6.4,6.4
Michael Crichton,7.0,1,7.0,7.0
Michael Cristofer,6.0,1,6.0,6.0
Michael Cuesta,7.1,2,7.2,7.0
Michael Curtiz,7.43,3,8.6,6.6
Michael D. Sellers,5.7,1,5.7,5.7
Michael Dinner,5.6,1,5.6,5.6
Michael Dougherty,6.2,1,6.2,6.2
Michael Dowse,6.85,2,7.4,6.3
Michael Gornick,6.0,1,6.0,6.0
Michael Haneke,7.4,3,7.9,6.5
Michael Herz,5.65,2,6.2,5.1
Michael Hoffman,6.87,3,7.0,6.7
Michael Hoffman Jr.,3.5,1,3.5,3.5
Michael J. Bassett,5.0,1,5.0,5.0
Michael Jai White,5.8,1,5.8,5.8
Michael Kang,6.8,1,6.8,6.8
Michael Landon Jr.,6.55,2,7.2,5.9
Michael Lehmann,5.63,3,5.7,5.6
Michael Lembeck,5.9,2,6.3,5.5
Michael Mann,7.08,6,7.9,5.4
Michael Martin,3.9,1,3.9,3.9
Michael Mayer,6.5,2,6.8,6.2
Michael McCullers,6.0,1,6.0,6.0
Michael McGowan,7.6,1,7.6,7.6
Michael Meredith,5.5,1,5.5,5.5
Michael Moore,7.28,6,8.0,5.3
Michael O. Sajbel,6.85,2,7.4,6.3
Michael Patrick Jann,6.5,1,6.5,6.5
Michael Patrick King,4.3,1,4.3,4.3
Michael Polish,5.78,5,7.3,4.3
Michael Pressman,6.0,1,6.0,6.0
Michael Radford,6.8,2,7.1,6.5
Michael Ritchie,6.2,3,7.3,5.4
Michael Roemer,8.1,1,8.1,8.1
Michael Rymer,5.65,2,6.1,5.2
Michael Schultz,6.8,3,6.9,6.6
Michael Spierig,6.5,1,6.5,6.5
Michael Sucsy,6.8,1,6.8,6.8
Michael Taliferro,3.4,1,3.4,3.4
Michael Tiddes,4.43,3,5.1,3.5
Michael Tollin,5.9,2,6.9,4.9
Michael Wadleigh,8.1,1,8.1,8.1
Michael Walker,4.5,1,4.5,4.5
Michael Winner,4.0,1,4.0,4.0
Michael Winnick,4.2,1,4.2,4.2
Michael Winterbottom,6.18,6,6.8,4.7
Michel Gondry,6.93,4,8.3,5.8
Michel Hazanavicius,8.0,1,8.0,8.0
Michel Leclerc,7.2,1,7.2,7.2
Michel Orion Scott,7.4,1,7.4,7.4
Mick Jackson,5.75,2,6.1,5.4
Mickey Liddell,3.8,1,3.8,3.8
Miguel Arteta,6.42,5,6.6,6.2
Miguel Sapochnik,6.3,1,6.3,6.3
Mikael Håfström,6.52,4,6.8,6.0
Mikael Salomon,5.8,1,5.8,5.8
Mike Barker,6.7,1,6.7,6.7
Mike Bigelow,4.6,1,4.6,4.6
Mike Binder,7.0,3,7.5,6.6
Mike Bruce,4.1,1,4.1,4.1
Mike Cahill,7.15,2,7.3,7.0
Mike Disa,4.8,1,4.8,4.8
Mike Figgis,6.5,2,7.6,5.4
Mike Flanagan,6.15,2,6.5,5.8
Mike Gabriel,6.6,1,6.6,6.6
Mike Hodges,6.4,1,6.4,6.4
Mike Judge,6.85,4,7.8,6.2
Mike Leigh,7.36,5,7.7,6.8
Mike Marvin,5.9,1,5.9,5.9
Mike Mayhall,8.6,1,8.6,8.6
Mike McCoy,6.5,1,6.5,6.5
Mike Mills,6.9,2,7.2,6.6
Mike Mitchell,5.68,4,6.4,4.4
Mike Nawrocki,6.15,2,6.6,5.7
Mike Newell,6.84,7,7.8,6.0
Mike Nichols,6.68,6,7.3,5.6
Mike van Diem,7.8,1,7.8,7.8
Mikel Rueda,7.2,1,7.2,7.2
Milos Forman,8.13,3,8.7,7.4
Mimi Leder,6.4,3,7.2,5.9
Mira Nair,6.68,5,7.6,6.0
Miranda July,7.4,1,7.4,7.4
Mitch Davis,5.8,2,6.5,5.1
Mitchell Altieri,8.7,1,8.7,8.7
Mitchell Lichtenstein,5.4,1,5.4,5.4
Molly Bernstein,7.1,1,7.1,7.1
Mona Fastvold,4.9,1,4.9,4.9
Monte Hellman,6.2,1,6.2,6.2
Mor Loushy,7.2,1,7.2,7.2
Mora Stephens,5.7,1,5.7,5.7
Morgan J. Freeman,6.35,2,6.5,6.2
Morgan Neville,7.4,1,7.4,7.4
Morgan Spurlock,6.0,3,7.3,4.1
Mort Nathan,4.9,1,4.9,4.9
Morten Tyldum,7.85,2,8.1,7.6
Moustapha Akkad,8.4,1,8.4,8.4
Myles Berkowitz,5.3,1,5.3,5.3
Måns Mårlind,6.4,1,6.4,6.4
Nacho Vigalondo,7.2,1,7.2,7.2
Nadia Tass,7.2,1,7.2,7.2
Nadine Labaki,7.2,1,7.2,7.2
Nae Caranfil,7.1,1,7.1,7.1
Nancy Meyers,6.76,5,7.2,6.4
Nancy Walker,4.5,1,4.5,4.5
Nanette Burstein,6.3,1,6.3,6.3
Nat Faxon,7.4,1,7.4,7.4
Natalie Bible',3.2,1,3.2,3.2
Nate Parker,5.4,1,5.4,5.4
Nathan Frankowski,6.6,1,6.6,6.6
Nathan Greno,7.8,1,7.8,7.8
Nathan Smith Jones,5.7,1,5.7,5.7
Neal Brennan,5.8,1,5.8,5.8
Neema Barnette,5.3,1,5.3,5.3
Neil Burger,6.98,4,7.6,6.6
Neil Jordan,6.76,8,7.6,5.5
Neil LaBute,6.57,3,7.3,6.1
Neil Marshall,6.53,3,7.2,6.0
Neil Mcenery-West,4.8,1,4.8,4.8
Neill Blomkamp,7.17,3,8.0,6.6
Neill Dela Llana,6.3,1,6.3,6.3
Nelson McCormick,4.75,2,5.6,3.9
Newt Arnold,6.8,1,6.8,6.8
Niall Johnson,5.6,1,5.6,5.6
Nicholas Fackler,7.3,1,7.3,7.3
Nicholas Hytner,6.53,3,6.9,6.0
Nicholas Jarecki,6.6,1,6.6,6.6
Nicholas Meyer,7.45,2,7.7,7.2
Nicholas Ray,6.8,1,6.8,6.8
Nicholas Stoller,6.44,5,7.2,6.0
Nicholaus Goossen,7.0,1,7.0,7.0
Nick Cassavetes,7.08,4,7.9,6.0
Nick Gomez,5.6,1,5.6,5.6
Nick Hamm,4.8,1,4.8,4.8
Nick Hurran,5.2,1,5.2,5.2
Nick Love,5.5,2,6.1,4.9
Nick Murphy,6.5,1,6.5,6.5
Nick Tomnay,6.8,1,6.8,6.8
Nickolas Perry,5.2,1,5.2,5.2
Nicolae Constantin Tanase,6.5,1,6.5,6.5
Nicolas Winding Refn,6.9,4,7.8,5.7
Nicole Holofcener,6.66,5,7.1,5.9
Niels Arden Oplev,7.3,2,8.1,6.5
Nigel Cole,6.9,2,7.2,6.6
Niki Caro,7.43,3,7.6,7.3
Nils Gaup,6.7,1,6.7,6.7
Nima Nourizadeh,6.7,1,6.7,6.7
Nimród Antal,6.43,3,7.2,5.7
Nnegest Likké,3.0,1,3.0,3.0
Noah Baumbach,7.03,3,7.4,6.3
Noah Buschel,6.2,1,6.2,6.2
Noam Murro,6.2,1,6.2,6.2
Noel Marshall,6.4,1,6.4,6.4
Nora Ephron,6.17,3,7.0,5.0
Norman Ferguson,7.5,1,7.5,7.5
Norman Jewison,6.7,5,8.0,5.3
Ol Parker,7.05,2,7.2,6.9
Olatunde Osunsanmi,5.9,1,5.9,5.9
Ole Bornedal,5.9,1,5.9,5.9
Ole Christian Madsen,7.3,1,7.3,7.3
Oleg Stepchenko,5.4,1,5.4,5.4
Oliver Blackburn,5.2,1,5.2,5.2
Oliver Hirschbiegel,7.1,2,8.3,5.9
Oliver Parker,6.48,4,6.9,5.8
Oliver Stone,6.95,14,8.1,5.5
Olivier Assayas,7.1,2,7.3,6.9
Olivier Dahan,5.7,1,5.7,5.7
Olivier Megaton,6.23,3,6.4,6.0
Oren Moverman,7.2,1,7.2,7.2
Oren Peli,5.25,2,6.3,4.2
Orson Welles,7.7,1,7.7,7.7
Ossie Davis,6.6,1,6.6,6.6
P.J. Hogan,6.3,1,6.3,6.3
Pan Nalin,7.3,2,7.6,7.0
Panos Cosmatos,6.1,1,6.1,6.1
Paolo Monico,5.1,1,5.1,5.1
Paolo Sorrentino,7.7,1,7.7,7.7
Pascal Arnold,5.8,1,5.8,5.8
Pascal Chaumeil,6.3,1,6.3,6.3
Pat Holden,5.4,1,5.4,5.4
Pat O'Connor,6.7,1,6.7,6.7
Patrice Leconte,7.3,1,7.3,7.3
Patricia Cardoso,6.65,2,7.0,6.3
Patricia Riggen,7.03,3,7.4,6.8
Patricia Rozema,6.7,1,6.7,6.7
Patrick Creadon,7.4,1,7.4,7.4
Patrick Gilles,7.5,1,7.5,7.5
Patrick Gilmore,6.7,1,6.7,6.7
Patrick Hughes,6.1,1,6.1,6.1
Patrick Lussier,5.4,4,5.7,4.9
Patrick Meaney,7.4,1,7.4,7.4
Patrick Read Johnson,5.6,2,5.9,5.3
Patrick Ryan Sims,3.6,1,3.6,3.6
Patrick Stettner,6.15,2,6.4,5.9
Patrick Tatopoulos,6.6,1,6.6,6.6
Patty Jenkins,7.3,1,7.3,7.3
Paul Abascal,5.8,1,5.8,5.8
Paul Andrew Williams,6.6,2,7.0,6.2
Paul Bartel,6.2,1,6.2,6.2
Paul Bolger,4.5,1,4.5,4.5
Paul Bunnell,5.7,1,5.7,5.7
Paul Crowder,7.3,1,7.3,7.3
Paul Donovan,4.3,1,4.3,4.3
Paul Feig,5.9,5,6.8,5.1
Paul Fierlinger,6.9,1,6.9,6.9
Paul Fox,6.1,1,6.1,6.1
Paul Greengrass,7.59,7,8.1,6.9
Paul Gross,6.25,2,6.5,6.0
Paul Haggis,7.5,3,7.9,7.2
Paul Hunter,5.5,1,5.5,5.5
Paul King,7.2,1,7.2,7.2
Paul Mazursky,5.9,1,5.9,5.9
Paul McGuigan,6.92,5,7.8,6.0
Paul Michael Glaser,6.6,1,6.6,6.6
Paul Schrader,5.68,6,6.8,3.9
Paul Thomas Anderson,7.52,6,8.1,6.7
Paul Tibbitt,6.0,1,6.0,6.0
Paul Verhoeven,6.56,5,7.8,4.6
Paul W.S. Anderson,5.99,10,6.7,5.4
Paul Weiland,5.8,1,5.8,5.8
Paul Weitz,6.02,6,7.0,5.5
Pawel Pawlikowski,7.1,2,7.4,6.8
Pece Dingo,4.5,1,4.5,4.5
Pedro Almodóvar,7.6,1,7.6,7.6
Penelope Spheeris,7.0,1,7.0,7.0
Penny Marshall,6.75,4,7.3,6.1
Perry Andelin Blake,3.3,1,3.3,3.3
Perry Lang,5.8,1,5.8,5.8
Pete Docter,8.23,3,8.3,8.1
Pete Jones,6.5,1,6.5,6.5
Pete Travis,6.93,3,7.1,6.6
Peter Atencio,6.4,1,6.4,6.4
Peter Berg,6.67,6,7.6,5.9
Peter Billingsley,5.5,1,5.5,5.5
Peter Care,7.1,1,7.1,7.1
Peter Cattaneo,6.55,4,7.2,6.2
Peter Chelsom,5.78,5,7.3,4.2
Peter Cousens,6.2,1,6.2,6.2
Peter DeLuise,5.9,1,5.9,5.9
Peter Faiman,6.5,1,6.5,6.5
Peter Farrelly,7.3,1,7.3,7.3
Peter Flinth,6.6,1,6.6,6.6
Peter H. Hunt,7.6,1,7.6,7.6
Peter Hastings,4.0,1,4.0,4.0
Peter Hedges,6.85,2,7.1,6.6
Peter Hewitt,5.3,4,6.2,4.2
Peter Ho-Sun Chan,7.1,1,7.1,7.1
Peter Howitt,6.22,4,6.8,5.9
Peter Hyams,5.48,6,6.8,4.2
Peter Jackson,7.68,12,8.9,6.7
Peter Kassovitz,6.5,1,6.5,6.5
Peter Kosminsky,7.2,1,7.2,7.2
Peter Landesman,7.1,1,7.1,7.1
Peter Lepeniotis,5.8,1,5.8,5.8
Peter Lord,6.85,2,7.0,6.7
Peter M. Cohen,4.4,1,4.4,4.4
Peter MacDonald,5.7,1,5.7,5.7
Peter Medak,6.6,1,6.6,6.6
Peter R. Hunt,6.8,1,6.8,6.8
Peter Ramsey,7.3,1,7.3,7.3
Peter Segal,6.19,7,6.8,4.3
Peter Sohn,6.8,1,6.8,6.8
Peter Sollett,6.8,3,7.2,6.5
Peter Stebbings,6.8,1,6.8,6.8
Peter Webber,6.6,2,7.0,6.2
Peter Weir,7.72,4,8.1,7.4
Peter Yates,6.0,1,6.0,6.0
Petter Næss,7.6,1,7.6,7.6
Peyton Reed,6.48,4,7.4,5.8
Phil Alden Robinson,6.4,1,6.4,6.4
Phil Claydon,5.2,1,5.2,5.2
Phil Joanou,5.8,2,6.9,4.7
Phil Lord,7.28,4,7.8,7.0
Phil Morrison,5.6,1,5.6,5.6
Phil Traill,4.8,1,4.8,4.8
Philip G. Atwell,6.3,1,6.3,6.3
Philip Kaufman,7.65,2,7.9,7.4
Philip Saville,7.7,1,7.7,7.7
Philip Zlotorynski,3.3,1,3.3,3.3
Phillip Noyce,6.77,9,7.5,6.2
Phyllida Lloyd,6.35,2,6.4,6.3
Pierre Coffin,7.6,2,7.7,7.5
Pierre Morel,6.85,4,7.9,5.8
Pitof,3.3,1,3.3,3.3
Piyush Dinker Pandya,6.7,1,6.7,6.7
Pou-Soi Cheang,6.0,1,6.0,6.0
Prachya Pinkaew,7.1,1,7.1,7.1
Preston A. Whitmore II,4.1,2,6.1,2.1
Qasim Basir,6.7,1,6.7,6.7
Quentin Dupieux,5.8,1,5.8,5.8
Quentin Tarantino,8.2,8,8.9,7.5
R. Balki,7.2,1,7.2,7.2
R.J. Cutler,6.8,1,6.8,6.8
RZA,5.4,1,5.4,5.4
Rachel Goldenberg,2.5,1,2.5,2.5
Rachel Perkins,6.3,1,6.3,6.3
Rachel Talalay,5.05,2,5.2,4.9
Rafa Lara,6.2,1,6.2,6.2
Raja Gosnell,4.92,6,5.5,3.7
Raja Menon,8.5,1,8.5,8.5
Rajkumar Hirani,8.2,1,8.2,8.2
Rakesh Roshan,6.3,1,6.3,6.3
Rakeysh Omprakash Mehra,8.4,1,8.4,8.4
Ralph Fiennes,6.2,1,6.2,6.2
Ralph Nelson,7.1,1,7.1,7.1
Ralph Ziman,7.8,1,7.8,7.8
Ramaa Mosley,6.4,1,6.4,6.4
Rand Ravich,5.3,2,5.3,5.3
Randal Kleiser,6.53,3,7.2,5.7
Randall Miller,6.95,2,7.1,6.8
Randall Rubin,6.2,1,6.2,6.2
Randall Wallace,6.62,4,7.2,5.8
Randy Moore,5.2,1,5.2,5.2
Rania Attieh,6.3,1,6.3,6.3
Rawson Marshall Thurber,6.75,4,7.0,6.6
Ray Griggs,5.1,1,5.1,5.1
Ray Lawrence,6.4,1,6.4,6.4
Raymond De Felitta,7.4,1,7.4,7.4
Rebecca Miller,6.7,1,6.7,6.7
Reed Cowan,7.1,1,7.1,7.1
Regardt van den Bergh,6.9,1,6.9,6.9
Reginald Hudlin,5.27,3,5.4,5.1
Reinhard Klooss,4.9,1,4.9,4.9
Remo,6.4,1,6.4,6.4
Renny Harlin,5.75,15,7.1,4.2
René Féret,6.4,1,6.4,6.4
Rian Johnson,7.15,2,7.4,6.9
Ric Roman Waugh,6.5,2,6.5,6.5
Rich Christiano,5.6,1,5.6,5.6
Rich Cowan,6.5,1,6.5,6.5
Rich Moore,7.8,1,7.8,7.8
Richard Attenborough,7.6,4,8.1,7.4
Richard Ayoade,7.3,1,7.3,7.3
Richard Benjamin,4.73,3,6.2,2.8
Richard Boddington,4.7,1,4.7,4.7
Richard Brooks,7.8,4,8.1,7.2
Richard Curtis,7.63,3,7.8,7.4
Richard Donner,6.82,12,7.6,5.6
Richard Dutcher,7.2,1,7.2,7.2
Richard E. Grant,6.9,1,6.9,6.9
Richard Eyre,7.25,2,7.4,7.1
Richard Fleischer,6.54,5,7.5,5.0
Richard Glatzer,7.3,2,7.5,7.1
Richard J. Lewis,7.3,1,7.3,7.3
Richard Kelly,6.4,3,8.1,5.5
Richard Kwietniowski,7.15,2,7.2,7.1
Richard LaGravenese,6.66,5,7.5,5.9
Richard Lester,6.6,5,7.7,4.9
Richard Linklater,7.33,11,8.1,6.0
Richard Loncraine,6.53,3,7.5,5.8
Richard Marquand,8.4,1,8.4,8.4
Richard Montoya,6.3,1,6.3,6.3
Richard Raymond,6.0,1,6.0,6.0
Richard Rich,6.0,1,6.0,6.0
Richard Schenkman,6.4,2,8.0,4.8
Richard Shepard,6.63,3,6.9,6.2
Richard Wallace,6.2,1,6.2,6.2
Richard Williams,7.2,1,7.2,7.2
Rick Bieber,5.7,1,5.7,5.7
Rick Famuyiwa,6.4,4,7.3,4.9
Rick Friedberg,5.3,1,5.3,5.3
Rick Rosenthal,4.1,1,4.1,4.1
Rick de Oliveira,2.7,1,2.7,2.7
Ricki Stern,7.7,1,7.7,7.7
Ricky Gervais,6.4,1,6.4,6.4
Ridley Scott,7.07,17,8.5,5.3
Ringo Lam,5.4,1,5.4,5.4
Risa Bramon Garcia,5.9,1,5.9,5.9
Rita Merson,5.3,1,5.3,5.3
Ritesh Batra,7.8,1,7.8,7.8
Rob Bowman,6.05,4,7.0,4.8
Rob Cohen,5.69,10,6.7,4.6
Rob Hawk,5.0,1,5.0,5.0
Rob Hedden,4.5,1,4.5,4.5
Rob Letterman,6.05,4,6.5,4.9
Rob Marshall,6.6,5,7.3,5.8
Rob McKittrick,6.8,1,6.8,6.8
Rob Minkoff,5.94,5,6.9,4.9
